instant,dteday,season,mnth,hr,holiday,weekday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt,yr
1,2011-01-01 00:00:00.000000000,1.0,0.6931471805599453,0.0,False,6.0,0.6931471805599453,0.24,0.2879,0.81,0.0,1.3862943611198906,2.6390573296152584,2.833213344056216,0.0
2,2011-01-01 00:00:00.000000000,1.0,0.6931471805599453,1.0,False,6.0,0.6931471805599453,0.22,0.2879,0.81,0.0,1.3862943611198906,2.6390573296152584,2.833213344056216,0.0
3,2011-01-01 00:00:00.000000000,1.0,0.6931471805599453,2.0,False,6.0,0.6931471805599453,0.22,0.2879,0.81,0.0,1.3862943611198906,2.6390573296152584,2.833213344056216,0.0
4,2011-01-01 00:00:00.000000000,1.0,0.6931471805599453,3.0,False,6.0,0.6931471805599453,0.24,0.2879,0.81,0.0,1.3862943611198906,2.6390573296152584,2.833213344056216,0.0
5,2011-01-01 00:00:00.000000000,1.0,0.6931471805599453,4.0,False,6.0,0.6931471805599453,0.24,0.2879,0.81,0.0,1.3862943611198906,2.6390573296152584,2.833213344056216,0.0
6,2011-01-01 00:00:00.000000000,1.0,0.6931471805599453,5.0,False,6.0,1.0986122886681098,0.24,0.2879,0.81,0.0,1.3862943611198906,2.6390573296152584,2.833213344056216,0.0
7,2011-01-01 00:00:00.000000000,1.0,0.6931471805599453,6.0,False,6.0,0.6931471805599453,0.22,0.2879,0.81,0.0,1.3862943611198906,2.6390573296152584,2.833213344056216,0.0
8,2011-01-01 00:00:00.000000000,1.0,0.6931471805599453,7.0,False,6.0,0.6931471805599453,0.2,0.2879,0.81,0.0,1.3862943611198906,2.6390573296152584,2.833213344056216,0.0
9,2011-01-01 00:00:00.000000000,1.0,0.6931471805599453,8.0,False,6.0,0.6931471805599453,0.24,0.2879,0.81,0.0,1.3862943611198906,2.6390573296152584,2.833213344056216,0.0
10,2011-01-01 00:00:00.000000000,1.0,0.6931471805599453,9.0,False,6.0,0.6931471805599453,0.32,0.2879,0.81,0.0,1.3862943611198906,2.6390573296152584,2.833213344056216,0.0
11,2011-01-01 00:00:00.000000000,1.0,0.6931471805599453,10.0,False,6.0,0.6931471805599453,0.38,0.2879,0.81,0.0,1.3862943611198906,2.6390573296152584,2.833213344056216,0.0
12,2011-01-01 00:00:00.000000000,1.0,0.6931471805599453,11.0,False,6.0,0.6931471805599453,0.36,0.2879,0.81,0.0,1.3862943611198906,2.6390573296152584,2.833213344056216,0.0
13,2011-01-01 00:00:00.000000000,1.0,0.6931471805599453,12.0,False,6.0,0.6931471805599453,0.42,0.2879,0.81,0.0,1.3862943611198906,2.6390573296152584,2.833213344056216,0.0
14,2011-01-01 00:00:00.000000000,1.0,0.6931471805599453,13.0,False,6.0,1.0986122886681098,0.46,0.2879,0.81,0.0,1.3862943611198906,2.6390573296152584,2.833213344056216,0.0
15,2011-01-01 00:00:00.000000000,1.0,0.6931471805599453,14.0,False,6.0,1.0986122886681098,0.46,0.2879,0.81,0.0,1.3862943611198906,2.6390573296152584,2.833213344056216,0.0
16,2011-01-01 00:00:00.000000000,1.0,0.6931471805599453,15.0,False,6.0,1.0986122886681098,0.44,0.2879,0.81,0.0,1.3862943611198906,2.6390573296152584,2.833213344056216,0.0
17,2011-01-01 00:00:00.000000000,1.0,0.6931471805599453,16.0,False,6.0,1.0986122886681098,0.42,0.2879,0.81,0.0,1.3862943611198906,2.6390573296152584,2.833213344056216,0.0
18,2011-01-01 00:00:00.000000000,1.0,0.6931471805599453,17.0,False,6.0,1.0986122886681098,0.44,0.2879,0.81,0.0,1.3862943611198906,2.6390573296152584,2.833213344056216,0.0
19,2011-01-01 00:00:00.000000000,1.0,0.6931471805599453,18.0,False,6.0,1.3862943611198906,0.42,0.2879,0.81,0.0,1.3862943611198906,2.6390573296152584,2.833213344056216,0.0
20,2011-01-01 00:00:00.000000000,1.0,0.6931471805599453,19.0,False,6.0,1.3862943611198906,0.42,0.2879,0.81,0.0,1.3862943611198906,2.6390573296152584,2.833213344056216,0.0
21,2011-01-01 00:00:00.000000000,1.0,0.6931471805599453,20.0,False,6.0,1.0986122886681098,0.4,0.2879,0.81,0.0,1.3862943611198906,2.6390573296152584,2.833213344056216,0.0
22,2011-01-01 00:00:00.000000000,1.0,0.6931471805599453,21.0,False,6.0,1.0986122886681098,0.4,0.2879,0.81,0.0,1.3862943611198906,2.6390573296152584,2.833213344056216,0.0
23,2011-01-01 00:00:00.000000000,1.0,0.6931471805599453,22.0,False,6.0,1.0986122886681098,0.4,0.2879,0.81,0.0,1.3862943611198906,2.6390573296152584,2.833213344056216,0.0
24,2011-01-01 00:00:00.000000000,1.0,0.6931471805599453,23.0,False,6.0,1.0986122886681098,0.46,0.2879,0.81,0.0,1.3862943611198906,2.6390573296152584,2.833213344056216,0.0
25,2011-01-02 00:00:00.000000000,1.0,0.6931471805599453,0.0,False,0.0,1.0986122886681098,0.46,0.2879,0.81,0.0,1.3862943611198906,2.6390573296152584,2.833213344056216,0.0
26,2011-01-02 00:00:00.000000000,1.0,0.6931471805599453,1.0,False,0.0,1.0986122886681098,0.44,0.2879,0.81,0.0,1.3862943611198906,2.6390573296152584,2.833213344056216,0.0
27,2011-01-02 00:00:00.000000000,1.0,0.6931471805599453,2.0,False,0.0,1.0986122886681098,0.42,0.2879,0.81,0.0,1.3862943611198906,2.6390573296152584,2.833213344056216,0.0
28,2011-01-02 00:00:00.000000000,1.0,0.6931471805599453,3.0,False,0.0,1.0986122886681098,0.46,0.2879,0.81,0.0,1.3862943611198906,2.6390573296152584,2.833213344056216,0.0
